id,index,period,timestamp,minute,second,type,possession,possession_team,play_pattern,team,player,position,location,duration,related_events,match_id,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_technique,shot_body_part,shot_type,shot_outcome,shot_freeze_frame,possession_team_id,team_id,player_id,under_pressure,shot_first_time,shot_one_on_one,shot_redirect
37176efb-40b9-4dcc-92ba-c983905ae715,222,1,00:04:28.202,4,28,Shot,12,Canada,Regular Play,Canada,Jacob Shaffelburg,Left Midfield,"[108.6, 25.4]",0.595628,['465f62c7-f81c-4e80-8ef2-98ad8c71a1c9'],3942785,0.032336574,"[120.0, 35.7, 5.6]",cccaa736-9964-49b0-8093-ebd811995af6,Normal,Left Foot,Open Play,Off T,"[{'location': [118.0, 36.5], 'player': {'id': 6909, 'name': 'Damián Emiliano Martínez'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [108.7, 47.8], 'player': {'id': 5507, 'name': 'Nicolás Alejandro Tagliafico'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [110.4, 42.1], 'player': {'id': 27768, 'name': 'Lisandro Martínez'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [109.9, 32.9], 'player': {'id': 20572, 'name': 'Cristian Gabriel Romero'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [109.3, 26.8], 'player': {'id': 28263, 'name': 'Gonzalo Ariel Montiel'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [104.6, 34.5], 'player': {'id': 38718, 'name': 'Enzo Fernandez'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [93.9, 53.0], 'player': {'id': 29560, 'name': 'Julián Álvarez'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': False}, {'location': [93.0, 47.6], 'player': {'id': 27886, 'name': 'Alexis Mac Allister'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [95.0, 24.1], 'player': {'id': 2995, 'name': 'Ángel Fabián Di María Hernández'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [88.3, 33.5], 'player': {'id': 7797, 'name': 'Rodrigo Javier De Paul'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [103.2, 33.9], 'player': {'id': 16459, 'name': 'Cyle Larin'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [106.2, 52.9], 'player': {'id': 16120, 'name': 'Richie Laryea'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [111.3, 42.9], 'player': {'id': 23640, 'name': 'Jonathan David'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}]",1833,1833,26152,,,,
a3718f4a-062f-4754-b04a-e588e936f34c,323,1,00:06:57.179,6,57,Shot,17,Canada,Regular Play,Canada,Jacob Shaffelburg,Left Midfield,"[106.2, 26.7]",1.150956,['1c2eb2f1-061b-4d45-a617-41220da65180'],3942785,0.07142339,"[120.0, 49.9, 0.2]",a0cd7a31-b776-42f1-9756-e850fc809a3c,Normal,Left Foot,Open Play,Off T,"[{'location': [86.8, 39.8], 'player': {'id': 133229, 'name': 'Ismael Koné'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [117.2, 36.6], 'player': {'id': 6909, 'name': 'Damián Emiliano Martínez'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [107.4, 42.6], 'player': {'id': 27768, 'name': 'Lisandro Martínez'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [106.5, 36.4], 'player': {'id': 20572, 'name': 'Cristian Gabriel Romero'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [107.9, 29.7], 'player': {'id': 28263, 'name': 'Gonzalo Ariel Montiel'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [97.1, 42.4], 'player': {'id': 38718, 'name': 'Enzo Fernandez'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [100.8, 29.3], 'player': {'id': 7797, 'name': 'Rodrigo Javier De Paul'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [88.8, 51.9], 'player': {'id': 5507, 'name': 'Nicolás Alejandro Tagliafico'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [100.4, 55.5], 'player': {'id': 16120, 'name': 'Richie Laryea'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [106.2, 41.0], 'player': {'id': 16459, 'name': 'Cyle Larin'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [100.1, 43.1], 'player': {'id': 23640, 'name': 'Jonathan David'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}]",1833,1833,26152,,,,
04966b6c-83f6-48a7-8021-a96ae9763c00,501,1,00:11:04.396,11,4,Shot,27,Argentina,Regular Play,Argentina,Lionel Andrés Messi Cuccittini,Right Center Forward,"[100.6, 48.6]",0.840281,['e4fc51e5-00ca-4517-9a5f-a50b8dc5a1fd'],3942785,0.037127987,"[120.0, 45.0, 0.2]",1727a2fd-01da-4e9c-927c-1d898f4fe0fc,Normal,Left Foot,Open Play,Off T,"[{'location': [117.8, 41.2], 'player': {'id': 23758, 'name': 'Maxime Crépeau'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [85.5, 62.8], 'player': {'id': 12365, 'name': 'Alphonso Davies'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [103.2, 50.1], 'player': {'id': 11187, 'name': 'Stephen Antunes Eustáquio'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [103.5, 43.6], 'player': {'id': 133229, 'name': 'Ismael Koné'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [106.8, 40.4], 'player': {'id': 44703, 'name': 'Alistair Johnston'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [98.1, 37.1], 'player': {'id': 16120, 'name': 'Richie Laryea'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [103.1, 47.5], 'player': {'id': 383250, 'name': 'Moise Bombito'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [106.8, 55.6], 'player': {'id': 23760, 'name': 'Derek Cornelius'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [106.7, 44.4], 'player': {'id': 27886, 'name': 'Alexis Mac Allister'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [107.9, 57.2], 'player': {'id': 2995, 'name': 'Ángel Fabián Di María Hernández'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [103.7, 34.7], 'player': {'id': 29560, 'name': 'Julián Álvarez'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}]",779,779,5503,,,,
ffdc8b29-2473-4b93-80d7-8faa576dd559,758,1,00:16:34.183,16,34,Shot,40,Canada,Regular Play,Canada,Alphonso Davies,Left Back,"[98.0, 44.3]",0.134993,"['b43cf928-48ba-473d-baa8-2666232e14d5', 'd1f31c9c-3c81-4983-a676-c699989e6ff1']",3942785,0.030869147,"[99.8, 44.0]",a64b5a84-fe61-4945-8177-b60ec0e6cfcb,Normal,Left Foot,Open Play,Blocked,"[{'location': [106.5, 39.5], 'player': {'id': 28263, 'name': 'Gonzalo Ariel Montiel'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [117.5, 40.2], 'player': {'id': 6909, 'name': 'Damián Emiliano Martínez'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [105.1, 49.4], 'player': {'id': 27886, 'name': 'Alexis Mac Allister'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [106.9, 43.7], 'player': {'id': 27768, 'name': 'Lisandro Martínez'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [109.6, 36.8], 'player': {'id': 20572, 'name': 'Cristian Gabriel Romero'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [102.9, 47.7], 'player': {'id': 5507, 'name': 'Nicolás Alejandro Tagliafico'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [99.9, 44.0], 'player': {'id': 38718, 'name': 'Enzo Fernandez'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [102.0, 36.9], 'player': {'id': 7797, 'name': 'Rodrigo Javier De Paul'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [103.3, 26.3], 'player': {'id': 2995, 'name': 'Ángel Fabián Di María Hernández'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [86.5, 53.0], 'player': {'id': 29560, 'name': 'Julián Álvarez'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': False}, {'location': [82.7, 57.4], 'player': {'id': 44703, 'name': 'Alistair Johnston'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [86.0, 35.5], 'player': {'id': 11187, 'name': 'Stephen Antunes Eustáquio'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}, {'location': [80.1, 45.0], 'player': {'id': 133229, 'name': 'Ismael Koné'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [105.9, 24.2], 'player': {'id': 26152, 'name': 'Jacob Shaffelburg'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [107.1, 36.9], 'player': {'id': 16459, 'name': 'Cyle Larin'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [108.9, 43.6], 'player': {'id': 16120, 'name': 'Richie Laryea'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [109.3, 38.2], 'player': {'id': 23640, 'name': 'Jonathan David'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}]",1833,1833,12365,,,,
82318f9c-1dcc-45cd-9269-dcdc4d049043,769,1,00:16:42.410,16,42,Shot,41,Argentina,Regular Play,Argentina,Julián Álvarez,Left Center Forward,"[51.6, 51.0]",4.179503,['3f588949-bb11-413a-b08b-79e7cdf38874'],3942785,0.0044208374,"[120.0, 56.1, 1.3]",869b8044-81f1-4cd9-8bd1-aa8a5193a2d9,Lob,Right Foot,Open Play,Off T,"[{'location': [56.8, 63.5], 'player': {'id': 23760, 'name': 'Derek Cornelius'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [104.3, 42.6], 'player': {'id': 23758, 'name': 'Maxime Crépeau'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [66.0, 43.8], 'player': {'id': 383250, 'name': 'Moise Bombito'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [26.9, 42.8], 'player': {'id': 16459, 'name': 'Cyle Larin'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': False}, {'location': [31.3, 40.9], 'player': {'id': 12365, 'name': 'Alphonso Davies'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [35.0, 35.9], 'player': {'id': 23640, 'name': 'Jonathan David'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': False}, {'location': [35.3, 56.8], 'player': {'id': 26152, 'name': 'Jacob Shaffelburg'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [43.5, 44.3], 'player': {'id': 44703, 'name': 'Alistair Johnston'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [51.9, 31.5], 'player': {'id': 16120, 'name': 'Richie Laryea'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [52.6, 37.4], 'player': {'id': 133229, 'name': 'Ismael Koné'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [53.7, 46.6], 'player': {'id': 11187, 'name': 'Stephen Antunes Eustáquio'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [26.8, 47.7], 'player': {'id': 28263, 'name': 'Gonzalo Ariel Montiel'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [30.9, 45.0], 'player': {'id': 20572, 'name': 'Cristian Gabriel Romero'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [45.9, 38.9], 'player': {'id': 7797, 'name': 'Rodrigo Javier De Paul'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [53.8, 27.3], 'player': {'id': 27886, 'name': 'Alexis Mac Allister'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [32.5, 37.6], 'player': {'id': 38718, 'name': 'Enzo Fernandez'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}, {'location': [35.1, 63.5], 'player': {'id': 2995, 'name': 'Ángel Fabián Di María Hernández'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [47.3, 70.5], 'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}]",779,779,29560,,,,
0db12638-5028-473f-94ad-51775d585c52,1021,1,00:22:00.812,22,0,Shot,49,Argentina,Regular Play,Argentina,Julián Álvarez,Left Center Forward,"[107.5, 42.5]",0.918331,['b033b316-d44d-44d4-843a-b5439ee61d8c'],3942785,0.5301857,"[120.0, 39.8, 0.5]",86fa324b-e6d2-4718-8fe0-a662917c5d24,Normal,Right Foot,Open Play,Goal,"[{'location': [112.7, 41.1], 'player': {'id': 23758, 'name': 'Maxime Crépeau'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [98.8, 52.7], 'player': {'id': 12365, 'name': 'Alphonso Davies'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [100.5, 48.2], 'player': {'id': 23760, 'name': 'Derek Cornelius'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [104.6, 39.2], 'player': {'id': 383250, 'name': 'Moise Bombito'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [109.2, 35.0], 'player': {'id': 44703, 'name': 'Alistair Johnston'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [103.7, 48.4], 'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [93.2, 20.8], 'player': {'id': 27886, 'name': 'Alexis Mac Allister'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}]",779,779,29560,,,,
b15f8268-ef43-4c6c-97cf-22f0f650eb01,1351,1,00:33:33.050,33,33,Shot,59,Argentina,From Free Kick,Argentina,Ángel Fabián Di María Hernández,Right Midfield,"[100.7, 58.9]",1.770687,"['bda301c1-81f6-4058-a942-4fbd0ea92522', 'd53483ec-ebfb-4886-8f3f-e8d10285b85f']",3942785,0.023008127,"[120.0, 35.5, 3.8]",1b3297e5-1431-493e-b68d-75bd41b96f2e,Lob,Left Foot,Open Play,Off T,"[{'location': [79.7, 54.8], 'player': {'id': 11187, 'name': 'Stephen Antunes Eustáquio'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [100.1, 57.2], 'player': {'id': 12365, 'name': 'Alphonso Davies'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [95.8, 40.6], 'player': {'id': 383250, 'name': 'Moise Bombito'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [99.9, 51.4], 'player': {'id': 23760, 'name': 'Derek Cornelius'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [111.7, 44.5], 'player': {'id': 23758, 'name': 'Maxime Crépeau'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [68.6, 57.9], 'player': {'id': 7797, 'name': 'Rodrigo Javier De Paul'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [72.3, 52.3], 'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [82.1, 38.7], 'player': {'id': 29560, 'name': 'Julián Álvarez'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [69.2, 41.2], 'player': {'id': 133229, 'name': 'Ismael Koné'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [78.7, 28.7], 'player': {'id': 44703, 'name': 'Alistair Johnston'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}]",779,779,2995,True,True,,
