Jugador,Posc,Equipo,Edad,Nacimiento,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.,Ast,G+A,G-TP,G+A-TP,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidos
Janner Corozo,DL,ec Ecuador,28,1995,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Jordi Cortizo,DL,mx Mexico,27,1996,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Aldo Corzo,DF,pe Peru,34,1989,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Maxime Crépeau,PO,ca Canada,29,1994,5,5,450,5.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Andrés Cubas,CC,py Paraguay,27,1996,2,2,170,1.9,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Partidos
Héctor Cuellar,DF,bo Bolivia,23,2000,3,2,225,2.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,2,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Jaume Cuéllar,DL,bo Bolivia,22,2001,1,0,17,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Carlos Cuesta,DF,co Colombia,24,1999,5,5,480,5.3,0,0,0,0,0,0,1,0,0.3,0.3,0.0,0.3,0,6,0,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05,Partidos
Christian Cueva,"CC,DL",pe Peru,32,1991,2,0,26,0.3,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,1,2,4,0.00,0.00,0.00,0.00,0.00,0.82,0.00,0.82,0.82,0.82,Partidos
Danilo,DF,br Brazil,32,1991,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.3,0.4,7,30,11,0.00,0.00,0.00,0.00,0.00,0.01,0.08,0.09,0.01,0.09,Partidos
Jonathan David,"CC,DL",ca Canada,24,2000,6,5,446,5.0,2,0,2,2,0,0,1,0,1.6,1.6,0.4,2.1,7,22,34,0.40,0.00,0.40,0.40,0.40,0.33,0.09,0.42,0.33,0.42,Partidos
Alphonso Davies,DF,ca Canada,23,2000,6,5,459,5.1,0,0,0,0,0,0,1,0,0.4,0.4,0.3,0.7,16,25,17,0.00,0.00,0.00,0.00,0.00,0.07,0.06,0.13,0.07,0.13,Partidos
Víctor Dávila,DL,cl Chile,26,1997,3,3,230,2.6,0,0,0,0,0,0,1,0,0.3,0.3,0.8,1.1,2,5,11,0.00,0.00,0.00,0.00,0.00,0.13,0.31,0.45,0.13,0.45,Partidos
Erick Davis,DF,pa Panama,32,1991,4,4,352,3.9,0,1,1,0,0,0,0,0,0.0,0.0,0.4,0.4,7,15,20,0.00,0.26,0.26,0.00,0.26,0.01,0.10,0.11,0.01,0.11,Partidos
Giorgian De Arrascaeta,"CC,DL",uy Uruguay,29,1994,5,1,164,1.8,0,1,1,0,0,0,0,0,0.1,0.1,0.6,0.7,3,7,12,0.00,0.55,0.55,0.00,0.55,0.07,0.34,0.41,0.07,0.41,Partidos
Luc De Fougerolles,DF,ca Canada,18,2005,1,1,66,0.7,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,0,2,0,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.08,0.08,0.08,Partidos
Nicolás De La Cruz,CC,uy Uruguay,26,1997,5,4,352,3.9,0,2,2,0,0,0,2,0,0.2,0.2,0.7,0.9,3,25,27,0.00,0.51,0.51,0.00,0.51,0.04,0.18,0.22,0.04,0.22,Partidos
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rodrigo De Paul,CC,ar Argentina,29,1994,5,5,480,5.3,0,1,1,0,0,0,1,0,0.1,0.1,1.1,1.3,10,31,11,0.00,0.19,0.19,0.00,0.19,0.02,0.23,0.25,0.02,0.25,Partidos
Ángel Di María,"CC,DL",ar Argentina,35,1988,5,4,354,3.9,0,1,1,0,0,0,0,0,0.4,0.4,2.0,2.4,14,19,30,0.00,0.25,0.25,0.00,0.25,0.10,0.51,0.61,0.10,0.61,Partidos
Ismael Díaz,CC,pa Panama,26,1997,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Luis Díaz,DL,co Colombia,27,1997,6,6,507,5.6,2,0,2,1,1,1,0,0,1.6,0.8,1.5,2.4,13,13,40,0.36,0.00,0.36,0.18,0.18,0.29,0.27,0.56,0.15,0.42,Partidos
Paulo Díaz,DF,cl Chile,29,1994,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Kaheim Dixon,"CC,DL",jm Jamaica,19,2004,3,0,64,0.7,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,0,10,0.00,0.00,0.00,0.00,0.00,0.13,0.00,0.13,0.13,0.13,Partidos
Alexander Domínguez,PO,ec Ecuador,36,1987,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Jhon Durán,DL,co Colombia,20,2003,1,0,14,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Rodrigo Echeverría,CC,cl Chile,28,1995,3,2,177,2.0,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,1,5,0,0.00,0.00,0.00,0.00,0.00,0.17,0.00,0.17,0.17,0.17,Partidos
Éderson,CC,br Brazil,24,1999,1,0,18,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Jorge Eduardo Sánchez,DF,mx Mexico,26,1997,3,3,270,3.0,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,8,21,20,0.00,0.00,0.00,0.00,0.00,0.04,0.02,0.06,0.04,0.06,Partidos
Julio Enciso,"DL,CC",py Paraguay,20,2004,3,3,251,2.8,1,0,1,1,0,0,0,0,0.7,0.7,0.9,1.5,7,9,12,0.36,0.00,0.36,0.36,0.36,0.24,0.31,0.55,0.24,0.55,Partidos
Endrick,DL,br Brazil,17,2006,4,1,127,1.4,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,1,3,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.06,0.06,0.06,Partidos
Matías Espinoza,DF,py Paraguay,26,1997,2,2,162,1.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,4,8,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Partidos
Stephen Eustáquio,CC,ca Canada,27,1996,5,5,431,4.8,0,0,0,0,0,0,1,0,0.6,0.6,0.3,0.9,2,28,5,0.00,0.00,0.00,0.00,0.00,0.13,0.07,0.20,0.13,0.20,Partidos
Evanilson,CC,br Brazil,24,1999,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
José Fajardo,"DL,CC",pa Panama,30,1993,4,3,295,3.3,2,0,2,2,0,0,0,0,0.9,0.9,0.2,1.1,5,2,17,0.61,0.00,0.61,0.61,0.61,0.27,0.06,0.34,0.27,0.34,Partidos
Edgardo Fariña,DF,pa Panama,22,2001,4,4,360,4.0,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,4,12,0,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Partidos
Enzo Fernández,CC,ar Argentina,23,2001,5,4,351,3.9,0,2,2,0,0,0,0,0,0.5,0.5,1.3,1.8,3,11,8,0.00,0.51,0.51,0.00,0.51,0.14,0.33,0.47,0.14,0.47,Partidos
Nicolás Fernández,DF,cl Chile,24,1999,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Nahuel Ferraresi,DF,ve Venezuela,25,1998,3,3,270,3.0,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,2,16,1,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.00,0.05,Partidos
Edison Flores,"DL,CC",pe Peru,29,1994,3,3,186,2.1,0,0,0,0,0,0,1,0,0.1,0.1,0.3,0.3,2,6,10,0.00,0.00,0.00,0.00,0.00,0.03,0.14,0.17,0.03,0.17,Partidos
Alan Franco,CC,ec Ecuador,25,1998,4,4,344,3.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,1,5,2,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.02,0.01,0.02,Partidos
Thomas Galdames,DF,cl Chile,25,1998,1,0,61,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,4,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Pedro Gallese,PO,pe Peru,33,1990,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orlando Galo,CC,cr Costa Rica,23,2000,3,3,270,3.0,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,0,5,2,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03,Partidos
Alejandro Garnacho,DL,ar Argentina,19,2004,1,1,65,0.7,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,4,1,5,0.00,0.00,0.00,0.00,0.00,0.13,0.00,0.13,0.13,0.13,Partidos
Néstor Giménez,DF,py Paraguay,26,1997,2,1,108,1.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,7,8,11,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Partidos
Santiago Giménez,DL,mx Mexico,22,2001,3,3,217,2.4,0,0,0,0,0,0,1,0,1.3,1.3,0.1,1.5,2,3,15,0.00,0.00,0.00,0.00,0.00,0.55,0.05,0.60,0.55,0.60,Partidos
João Gomes,CC,br Brazil,22,2001,4,4,324,3.6,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.1,2,15,10,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03,Partidos
Freddy Góndola,CC,pa Panama,28,1995,3,0,45,0.5,0,1,1,0,0,0,1,0,0.0,0.0,0.1,0.1,1,1,4,0.00,2.00,2.00,0.00,2.00,0.00,0.15,0.15,0.00,0.15,Partidos
Alexander González,DF,ve Venezuela,31,1992,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,6,13,24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Derlis González,CC,py Paraguay,29,1994,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Nicolás González,"CC,DL",ar Argentina,25,1998,5,2,255,2.8,0,0,0,0,0,0,1,0,0.3,0.3,0.5,0.8,3,4,20,0.00,0.00,0.00,0.00,0.00,0.14,0.18,0.32,0.14,0.32,Partidos
Demarai Gray,"CC,DL",jm Jamaica,27,1996,3,2,198,2.2,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,5,3,10,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.04,0.03,0.04,Partidos
Joao Grimaldo,CC,pe Peru,20,2003,1,0,20,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Carlos Gruezo,"CC,DL",ec Ecuador,28,1995,4,1,124,1.4,0,1,1,0,0,0,0,0,0.0,0.0,0.5,0.5,0,2,0,0.00,0.73,0.73,0.00,0.73,0.00,0.34,0.34,0.00,0.34,Partidos
Eduardo Guerrero,DL,pa Panama,23,2000,4,1,114,1.3,1,0,1,1,0,0,1,0,0.2,0.2,0.1,0.3,0,2,8,0.79,0.00,0.79,0.79,0.79,0.16,0.06,0.22,0.16,0.22,Partidos
Paolo Guerrero,DL,pe Peru,40,1984,3,1,96,1.1,0,0,0,0,0,0,1,0,0.5,0.5,0.2,0.7,0,4,1,0.00,0.00,0.00,0.00,0.00,0.45,0.22,0.67,0.45,0.67,Partidos
Bruno Guimarães,CC,br Brazil,26,1997,4,4,332,3.7,0,0,0,0,0,0,1,0,0.4,0.4,0.1,0.5,8,31,5,0.00,0.00,0.00,0.00,0.00,0.11,0.03,0.14,0.11,0.14,Partidos
Luis Haquín,DF,bo Bolivia,26,1997,3,3,270,3.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Partidos
Wes Harding,DF,jm Jamaica,27,1996,1,1,66,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Carlos Harvey,DF,pa Panama,23,2000,2,1,118,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Michael Hector,DF,jm Jamaica,31,1992,3,1,158,1.8,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,1,3,0,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Partidos
Yangel Herrera,CC,ve Venezuela,26,1998,4,4,326,3.6,0,1,1,0,0,0,0,0,0.4,0.4,0.5,0.9,11,24,10,0.00,0.28,0.28,0.00,0.28,0.11,0.13,0.24,0.11,0.24,Partidos
Piero Hincapié,DF,ec Ecuador,22,2002,4,4,360,4.0,1,0,1,1,0,0,0,0,0.0,0.0,0.4,0.4,6,10,11,0.25,0.00,0.25,0.25,0.25,0.00,0.09,0.09,0.00,0.09,Partidos
Ethan Horvath,PO,us United States,28,1995,1,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
César Huerta,"DL,CC",mx Mexico,23,2000,2,1,84,0.9,0,0,0,0,0,0,0,0,0.2,0.2,0.4,0.5,1,2,9,0.00,0.00,0.00,0.00,0.00,0.18,0.40,0.58,0.16,0.56,Partidos
José Hurtado,DF,ec Ecuador,22,2001,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Mauricio Isla,DF,cl Chile,35,1988,3,3,266,3.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,4,13,14,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Partidos
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alistair Johnston,DF,ca Canada,25,1998,6,6,511,5.7,0,0,0,0,0,0,1,0,0.0,0.0,0.3,0.4,9,24,14,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.00,0.06,Partidos
Julio José González,PO,mx Mexico,32,1991,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Vinicius Júnior,DL,br Brazil,23,2000,3,3,250,2.8,2,0,2,2,0,0,2,0,0.7,0.7,0.7,1.4,13,2,25,0.72,0.00,0.72,0.72,0.72,0.26,0.24,0.50,0.26,0.50,Partidos
Leonel Justiniano,CC,bo Bolivia,31,1992,2,1,73,0.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Kaku,"DL,CC",py Paraguay,29,1995,2,0,35,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,7,2,0.00,0.00,0.00,0.00,0.00,0.00,0.26,0.26,0.00,0.26,Partidos
Richard King,DF,jm Jamaica,22,2001,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.31,0.31,0.00,0.31,Partidos
Ismaël Koné,CC,ca Canada,21,2002,5,4,319,3.5,1,0,1,1,0,0,3,0,0.5,0.5,0.0,0.5,16,23,5,0.28,0.00,0.28,0.28,0.28,0.14,0.00,0.14,0.14,0.14,Partidos
Luca de la Torre,CC,us United States,25,1998,1,0,13,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Matías Lacava,CC,ve Venezuela,21,2002,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Gianluca Lapadula,DL,pe Peru,33,1990,3,2,194,2.2,0,0,0,0,0,0,0,0,0.5,0.5,0.0,0.5,1,0,12,0.00,0.00,0.00,0.00,0.00,0.22,0.00,0.22,0.22,0.22,Partidos
Cyle Larin,DL,ca Canada,28,1995,5,5,396,4.4,0,0,0,0,0,0,0,0,1.1,1.1,0.6,1.7,3,11,22,0.00,0.00,0.00,0.00,0.00,0.24,0.13,0.38,0.24,0.38,Partidos
Richie Laryea,"DF,DL",ca Canada,29,1995,6,5,366,4.1,0,0,0,0,0,0,1,0,0.2,0.2,0.3,0.5,8,7,15,0.00,0.00,0.00,0.00,0.00,0.04,0.08,0.12,0.04,0.12,Partidos
Ariel Lassiter,DF,cr Costa Rica,29,1994,2,2,134,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,2,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Partidos
Joël Latibeaudière,"DF,CC",jm Jamaica,24,2000,3,3,259,2.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,5,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Greg Leigh,DF,jm Jamaica,29,1994,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,3,5,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.00,0.04,Partidos
Dexter Lembikisa,DF,jm Jamaica,20,2003,2,2,177,2.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,2,7,5,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,Partidos
Kahiser Lenis,CC,pa Panama,23,2000,2,0,47,0.5,0,0,0,0,0,0,0,0,0.4,0.4,0.0,0.4,1,3,4,0.00,0.00,0.00,0.00,0.00,0.74,0.00,0.74,0.74,0.74,Partidos
Jefferson Lerma,CC,co Colombia,29,1994,5,5,422,4.7,2,0,2,2,0,0,2,0,0.4,0.4,0.1,0.5,5,10,2,0.43,0.00,0.43,0.43,0.43,0.08,0.03,0.11,0.08,0.11,Partidos
